,ip,country,region,city,lat,long,count
2742,81.45.53.82,ES,Madrid,Madrid,40.4167047,-3.7035825,33
2743,81.37.35.177,ES,Madrid,Coslada,40.423802,-3.5552882,110
2744,46.222.53.58,ES,Madrid,San Fernando de Henares,40.4248548,-3.5350369,1
2745,88.14.98.68,ES,Madrid,Madrid,40.4167047,-3.7035825,38
2746,62.47.205.165,AT,Upper Austria,Rettenbach,47.7159529,13.636275,34
2747,91.116.23.162,ES,Catalonia,Barcelona,41.3828939,2.1774322,56
2748,84.122.145.239,ES,Andalusia,Seville,37.3886303,-5.9953403,127
2749,157.55.35.114,CA,Ontario,Toronto,43.6534817,-79.3839347,3
2750,81.45.52.88,ES,Madrid,Madrid,40.4167047,-3.7035825,38
2751,213.143.49.182,ES,Madrid,LavapiÃ©s,40.4084633,-3.7007946,85
2752,87.217.194.154,ES,Madrid,Pozuelo de AlarcÃ³n,40.4346528,-3.814834,83
2753,81.45.55.91,ES,Madrid,Madrid,40.4167047,-3.7035825,38
2754,83.45.161.172,ES,Madrid,Madrid,40.4167047,-3.7035825,161
2755,157.55.34.101,CA,Ontario,Toronto,43.6534817,-79.3839347,16
2756,31.4.181.220,ES,Catalonia,Barcelona,41.3828939,2.1774322,1
2757,199.30.25.61,US,Washington,Redmond,47.6694141,-122.1238767,14
2758,83.49.192.64,ES,Madrid,Madrid,40.4167047,-3.7035825,59
2759,37.252.181.65,ES,Madrid,Madrid,40.4167047,-3.7035825,57
2760,79.147.199.254,ES,Madrid,Madrid,40.4167047,-3.7035825,45
2761,157.56.229.186,CA,Ontario,Toronto,43.6534817,-79.3839347,7
2762,83.52.152.43,ES,Madrid,Madrid,40.4167047,-3.7035825,58
2763,80.36.142.192,ES,Madrid,Madrid,40.4167047,-3.7035825,14
2764,88.6.202.244,ES,Madrid,Madrid,40.4167047,-3.7035825,182
2765,157.55.36.37,CA,Ontario,Toronto,43.6534817,-79.3839347,1
2766,91.121.139.228,FR,Hauts-de-France,Roubaix,50.6915893,3.1741734,2
2767,123.125.71.27,CN,Beijing,Haidian (Haidian Qu),39.9773365,116.3046983,1
2768,62.42.1.201,ES,Madrid,Madrid,40.4167047,-3.7035825,80
2769,81.45.52.199,ES,Madrid,Madrid,40.4167047,-3.7035825,30
2770,109.111.120.188,AD,Andorra la Vella,Santa Coloma,42.49450295,1.499226040111615,1
2771,162.242.244.133,US,Texas,San Antonio (Northeast Side),None,None,2
